rider,team_name
Brady Kurtz,Belle Vue Aces
Norick Blodorn,Belle Vue Aces
Jaimon Lidsey,Belle Vue Aces
Zach Cook,Belle Vue Aces
Dan Bewley,Belle Vue Aces
Tate Zischke,Belle Vue Aces
Jake Mulford,Belle Vue Aces
Tobias Musielak,Birmingham Brummies
Jonas Jeppesen,Birmingham Brummies
Lewis Kerr,Birmingham Brummies
Keynan Rew,Birmingham Brummies
Michael Jepsen Jensen,Birmingham Brummies
Antti Vuolas,Birmingham Brummies
Jason Edwards,Birmingham Brummies
Jason Doyle,Ipswich Witches
Danny King,Ipswich Witches
Adam Ellis,Ipswich Witches
Tom Brennan,Ipswich Witches
Emil Sayfutdinov,Ipswich Witches
Dan Thompson,Ipswich Witches
Jordan Jenkins,Ipswich Witches
Ben Cook,Kings Lynn All Stars
Jan Kvetch,Kings Lynn All Stars
Nicolai Klindt,Kings Lynn All Stars
Niels Kristian Iversen,Kings Lynn All Stars
Richard Lawson,Kings Lynn All Stars
Chris Harris,Kings Lynn All Stars
Ashton Boughen,Kings Lynn All Stars
MAx Fricke,Leicester Lions
Luke Becker,Leicester Lions
Ryan Douglas,Leicester Lions
Kyle Howarth,Leicester Lions
Sam Masters,Leicester Lions
Drew Kemp,Leicester Lions
Dan Gilkes,Leicester Lions
Rohan Tungate,Oxford Spires
Erik Riss,Oxford Spires
Charles Wright,Oxford Spires
Peter Kildemand,Oxford Spires
Maciej Janowski,Oxford Spires
Francis Gusts,Oxford Spires
Luke Killeen,Oxford Spires
JAck Hölder,Sheffield Tigers
Anders Rowe,Sheffield Tigers
Chris Holder,Sheffield Tigers
Justin Sedgmen,Sheffield Tigers
Josh Pickering,Sheffield Tigers
Lewis Kerr,Sheffield Tigers
Leon Flint,Sheffield Tigers
